source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,weight,robustWeight,stepX,stepY,stepYawDeg
115,68,curb,0.0201307391279899,NaN,0.00097718142650001,0.00390073060224687,0.00388820700530297,4.43708343519418e-05,0.000505889585699552,-0.00153790354381012
116,65,curb,1.69034030348444,NaN,0.000918154900082931,0.00326464539432711,0.00256966741155799,-0.000235025291385755,-0.00257317616416919,0.00798455386098584
117,68,curb,0.248521337312708,NaN,0.00097718142650001,0.00386798366083358,0.00372006132247413,1.81820942714107e-05,0.000800470146533727,-0.00157853064961003
118,71,curb,1.45992476402014,NaN,0.00172314115876086,0.00332304122079424,0.00269380159543017,-4.01514355666239e-05,-0.00167856023746008,0.00341822234645909
119,71,curb,0.457250217236156,NaN,0.00172314115876086,0.00397431925551499,0.0037033798564927,-0.000126741979774053,0.000473240384962675,0.00127445711555799
120,71,curb,1.81724660970154,NaN,0.00172314115876086,0.00316948785250405,0.00245552169612963,0.000168125538629542,-0.000814898164469427,-0.00138207323108946
121,71,curb,1.07554948323743,NaN,0.00172314115876086,0.00384400377122547,0.0032796206789858,-0.000298243809380828,-0.000130589908768488,0.00505021466556219
122,71,curb,1.14425358117399,NaN,0.00172314115876086,0.00306008807204113,0.00258654240624792,0.000292968114295268,1.19264415463396e-05,-0.00476905729235024
123,71,curb,1.01940593320886,NaN,0.00172314115876086,0.00373227343145857,0.00320888792852419,-0.000401686360426627,-0.000648812845519423,0.00758150821151437
124,71,curb,1.89885744970963,NaN,0.00172314115876086,0.00288333768394737,0.00221145855549519,0.000531893044378086,0.000907154565026875,-0.0101182367486347
125,71,curb,1.02138435444773,NaN,0.00172314115876086,0.00368534351207541,0.00316767699624932,-0.000529860745126921,-0.00123487575997397,0.0106255796606707
126,71,curb,18.5093663099322,NaN,0.00172314115876086,0.00132570010935221,0.000334646112494711,-0.000487601434869254,-0.00134507580556454,0.0101221796238748
127,71,curb,0.341054512302074,NaN,0.00172314115876086,0.00350331520502456,0.00332203594895712,-0.000412502300458339,-0.00115177972181726,0.00858605212473777
128,71,curb,1.92655290968979,NaN,0.00172314115876086,0.00281720575612434,0.00215341797090446,0.000819118631562518,0.00229528071027221,-0.0170630364916316
129,71,curb,0.855537721199187,NaN,0.00172314115876086,0.00312973718077559,0.00275290317881054,-0.000664380370786759,-0.00203488169593681,0.0141252274064614
130,71,curb,2.14122552840743,NaN,0.00172314115876086,0.00213563320952134,0.00159067439128187,0.000820381414499033,0.00254470947157674,-0.0174947221714538
131,71,curb,0.148779453655167,NaN,0.00172314115876086,0.0026470378656278,0.00258549099558719,-0.000443770371969533,-0.00145447933757145,0.00959198627601572
132,71,curb,2.31500214971795,NaN,0.00172314115876086,0.00214590253213744,0.00156589462459162,0.00101047168542956,0.00332270330604333,-0.0218589528378045
133,71,curb,0.163615180475639,NaN,0.00172314115876086,0.00217549563611765,0.00211999743407227,-0.000454274130522584,-0.00155856248610191,0.00993385990578419
134,71,curb,1.90724660309327,NaN,0.00172314115876086,0.00201456983363029,0.00154354306947331,0.00102551863016915,0.00351680252246427,-0.0224228801173103
135,71,curb,0.174922985931664,NaN,0.00172314115876086,0.00189666010644959,0.00184502221914043,-0.000464560788259591,-0.00165572547587162,0.010260805306258
136,76,curb,1.55022547652969,NaN,0.00272072512547887,0.00166625812838707,0.0013351041368938,0.000922761661067977,0.00325805137622583,-0.0202279096883763
137,76,curb,0.0804890963864347,NaN,0.00272072512547887,0.000492901439237333,0.000486634436664904,-9.29406432653529e-05,-0.000333245941319693,0.00204638698182395
138,76,curb,1.02704424093578,NaN,0.00272072512547887,0.001484124868106,0.0012746631899643,-0.000903499540097687,-0.00330369859188102,0.0200071127087025
139,76,curb,1.58293481327728,NaN,0.00272072512547887,0.0017240076632257,0.00137560801309061,0.00101342600978861,0.00369609694720082,-0.0224243926801322
141,147,pole,3.76637772447336,NaN,0.000372624613405367,0.0883889841438558,0.0551527873743544,-0.0372626965043379,0.0154633806675028,0.0459166349880738
142,149,pole,94.1473638220699,NaN,0.00032600971896668,0.0635279505090128,0.00395478203376938,-0.00489330525911383,0.0581104629987383,-0.289777426762769
143,172,trafficSign,0.0549804841772002,NaN,0.000234215350395996,0.113508657602861,0.112518843126992,0.0112318106179027,-0.00228134110726927,-0.0119872141197292
