variant,population,samples,rmseMps,medianAbsMps,biasMps,estimatedMeanMps,referenceMeanMps,dynamicBranchRmseMps,meanDynamicParticipation,runtimeSeconds,designStatus
actual,all,11690,0.269555058665335,0.255599411706053,-0.178403611488338,0.0314997363190709,0.209903347807409,0.271116559076349,0.917349653366712,1.642823,Original certified design; grid certificate covers LPV branch only
gain_05,moving,10787,0.276408704239678,0.264174777537109,-0.203997642589457,0.0249343030041248,0.228931945593582,0.278289347994199,0.994142713252699,1.577165,Diagnostic perturbation; certificate not transferred
gain_05,straight,6303,0.277041697947584,0.282226625581496,-0.266274955822857,0.00357719466907194,0.269852150491929,0.276302866413346,1,1.577165,Diagnostic perturbation; certificate not transferred
gain_05,turning,4484,0.275516468528999,0.240858987940736,-0.116456628916371,0.054955233832813,0.171411862749184,0.281057936935553,0.985909332706705,1.577165,Diagnostic perturbation; certificate not transferred
gain_05,moving_first60,5098,0.309728531909939,0.295264171468899,-0.26239429130635,0.0135272753513087,0.275921566657658,0.311707679764226,0.987606404051955,1.577165,Diagnostic perturbation; certificate not transferred
gain_05,moving_later,5689,0.24269455537446,0.24422360061663,-0.151667511607084,0.0351563151282338,0.186823826735318,0.244492351123676,1,1.577165,Diagnostic perturbation; certificate not transferred
gain_2,all,11690,0.267533437184602,0.255140071201603,-0.17556829020459,0.0343350576028187,0.209903347807409,0.269263756584018,0.917349653366712,1.559836,Diagnostic perturbation; certificate not transferred
gain_2,moving,10787,0.272138563694309,0.2623905376975,-0.198086388375685,0.0308455572178969,0.228931945593582,0.274357029976793,0.994142713252699,1.559836,Diagnostic perturbation; certificate not transferred
gain_2,straight,6303,0.269603929895797,0.273263378455151,-0.259591185926988,0.0102609645649405,0.269852150491929,0.269075881971688,1,1.559836,Diagnostic perturbation; certificate not transferred
gain_2,turning,4484,0.275662007477088,0.243351706579142,-0.111631272638427,0.0597805901107568,0.171411862749184,0.28161315037884,0.985909332706705,1.559836,Diagnostic perturbation; certificate not transferred
gain_2,moving_first60,5098,0.302498217639451,0.282171592193944,-0.254759017996833,0.0211625486608252,0.275921566657658,0.304855552230707,0.987606404051955,1.559836,Diagnostic perturbation; certificate not transferred
gain_2,moving_later,5689,0.241714651656659,0.247303932126069,-0.147301177300168,0.0395226494351497,0.186823826735318,0.243806866993835,1,1.559836,Diagnostic perturbation; certificate not transferred
gain_4,all,11690,0.265898089745517,0.254713570198346,-0.173122609056307,0.0367807387511025,0.209903347807409,0.267801112480535,0.917349653366712,1.555762,Diagnostic perturbation; certificate not transferred
gain_4,moving,10787,0.270396054443046,0.262206294697553,-0.195435974671834,0.0334959709217476,0.228931945593582,0.272801185014797,0.994142713252699,1.555762,Diagnostic perturbation; certificate not transferred
