frame,mechanism,class,mode,start,accepted,reason,referenceScore,optimizedScore,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM
900,pitchCorrected_futureGrid,all,xy,3,1,accepted,0.434273512541581,0.44707609595786,0.0548978477251289,-0.178275419535526,0.00316188513589243,0.0548067164427761
900,pitchCorrected_futureGrid,all,xyz,1,1,accepted,0.21538763297928,0.23161109724846,0.0619855531365279,-0.210745567212893,0.00906235675722054,0.0613195114759257
900,pitchCorrected_futureGrid,all,xyz,2,1,accepted,0.21538763297928,0.231611097248482,0.0619855825092854,-0.210745484610441,0.00906243727439478,0.061319529268114
900,pitchCorrected_futureGrid,all,xyz,3,1,accepted,0.21538763297928,0.23161109724848,0.0619855537606634,-0.210745398743493,0.00906241207428274,0.061319503931555
900,equalMass,all,xy,1,1,accepted,0.355383137611089,0.370293661943565,3.47330774567603,0.591522290300218,3.47330728967913,-0.00177978506312532
900,equalMass,all,xy,2,0,searchBoundary,0.355383137611089,0.361945314116658,2.50747602667547,0.265637306711881,2.50738612621712,0.021232955660889
900,equalMass,all,xy,3,0,searchBoundary,0.355383137611089,0.368347205003805,3.00779929749799,0.426082795451149,3.0077833326527,0.00979989010400292
900,equalMass,all,xyz,1,1,accepted,0.210857566013556,0.213369903897649,0.0612569570075169,0.214689087239814,0.0612435167058094,0.00128313807753253
900,equalMass,all,xyz,2,1,accepted,0.210857566013556,0.213369903896048,0.0612586709103029,0.214697082155769,0.0612452545660074,0.00128201202870275
900,equalMass,all,xyz,3,1,accepted,0.210857566013556,0.21336990386165,0.0612751269021425,0.214738954924492,0.0612617954333486,0.00127812251220703
900,equalPeakXY,all,xy,1,0,searchBoundary,0.362601126108755,0.376049851671323,3.51899322946884,0.185127290101116,3.51681675044239,0.12374689028551
900,equalPeakXY,all,xy,2,1,accepted,0.362601126108755,0.367097870215237,0.0343314955196048,0.13768594371609,0.0318002956246504,0.0129380362805751
900,equalPeakXY,all,xy,3,0,searchBoundary,0.362601126108755,0.372386502150851,3.01753169312082,0.0816824102776428,3.01522817495549,0.117883722129679
900,equalPeakXY,all,xyz,1,1,accepted,0.216510295752229,0.220511764054152,0.0827872486613448,0.285611788294463,0.0827651917159325,-0.00191091107597161
900,equalPeakXY,all,xyz,2,1,accepted,0.216510295752229,0.220511764053981,0.0827875116514885,0.285611190599185,0.0827654568546717,-0.00191082104939941
