scenario,timeSeconds,positionErrorM,yawErrorDeg
fusion,31.2,0.282213508619609,0.348555869329513
fusion,31.3,0.323184571152565,0.40613459037206
fusion,31.4,0.243317154037142,0.431577531738936
fusion,31.5,0.263869844634493,0.429293417566655
fusion,31.6,0.328479571445553,0.40038710888581
fusion,31.7,0.341672528568284,0.41459094925234
fusion,31.8,0.293319904801512,0.476521574589854
fusion,31.9,0.283875844492931,0.504584822981682
fusion,32,0.216494213408048,0.415331269689
fusion,32.1,0.204058404495292,0.373291764318612
fusion,32.2,0.196275740841792,0.473767731310681
fusion,32.3,0.200159508477662,0.433419568819527
fusion,32.4,0.215212199965894,0.462233242689321
fusion,32.5,0.240838691841006,0.495901016326673
fusion,32.6,0.261536595754454,0.487165192364253
fusion,32.7,0.245197140083495,0.555638104178478
fusion,32.8,0.293927901123978,0.366989589429571
fusion,32.9,0.283578310890268,0.37000007261372
fusion,33,0.359870382458735,0.332382453011628
fusion,33.1,0.332117949612373,0.236488663903492
fusion,33.2,0.257528074678433,0.247132296812701
fusion,33.3,0.290742965686245,-0.205994105181553
fusion,33.4,0.249185616759477,-0.34245444737097
fusion,33.5,0.247426376456838,-0.150377489566529
fusion,33.6,0.255078083715218,-0.231987068145082
fusion,33.7,0.279206978623969,0.244356161652552
fusion,33.8,0.265888175568717,0.0299081738182581
fusion,33.9,0.249032920799403,0.174785687478692
fusion,34,0.274079624227884,0.0606491853943722
fusion,34.1,0.315876607833264,0.0633326392026043
fusion,34.2,0.387148044612619,0.155076730082789
fusion,34.3,0.365392728055542,0.146722620566185
fusion,34.4,0.294728920327395,0.0943480183556922
fusion,34.5,0.264576461467263,0.206284879071919
fusion,34.6,0.281881323310671,0.176736027492189
fusion,34.7,0.257141980391627,0.15910941901629
fusion,34.8,0.295678950998366,0.177848104372234
fusion,34.9,0.272935500165239,0.145556190508242
fusion,35,0.347383912242888,0.226762383298168
fusion,35.1,0.324449139578032,0.21902632578245
fusion,35.2,0.242935986352987,0.185382178810527
fusion,35.3,0.247740117966557,0.234843970011051
fusion,35.4,0.193557995343406,0.261023679982689
fusion,35.5,0.186463592329819,0.297716966228374
fusion,35.6,0.197211450909814,0.36793089273049
fusion,35.7,0.198024335752145,0.341355114508346
fusion,35.8,0.200964047501356,0.273275567742948
fusion,35.9,0.230419749027459,0.165218218742978
fusion,36,0.304833708188739,0.162359628697717
fusion,36.1,0.350877884150217,0.15100694913371
fusion,36.2,0.429297746669916,0.107828648147076
fusion,36.3,0.386727648678965,0.140331013587777
fusion,36.4,0.280920540562325,0.0760807064304214
fusion,36.5,0.241049391849553,0.0913603354909412
fusion,36.6,0.232130653385188,0.105988557640056
fusion,36.7,0.243373774728245,0.106481239830741
fusion,36.8,0.118806751698127,0.137040254216308
fusion,36.9,0.191710562619133,0.140710035404281
fusion,37,0.323955214103449,0.141414369760967
fusion,37.1,0.329286545187442,0.136511383631686
