positionGain,velocityGain,accelerationGain,headingGain,positionRmseM,positionMaximumM,positionP95M,headingRmseDeg,certificateMargin,accuracyFeasible
5,8,12,2,0.158821573712388,0.879830012724716,0.275851218553532,0.45947983260375,2.42598973332041,0
6,8,12,2,0.15749658990964,0.883838630160938,0.272277076035944,0.45947983260375,2.92315379080656,0
8,8,12,2,0.157250944249382,0.886308566880557,0.274724982904457,0.45947983260375,3.916779151044,0
10,8,12,2,0.158029165242223,0.885597511253093,0.279898348557207,0.45947983260375,4.90925801914629,0
3,1,4,4,0.196672515071149,0.828068798102032,0.301995246090852,0.481924181173143,0.64602694454847,0
4,1,4,4,0.178413260327836,0.844351091917254,0.286612131596433,0.481924181173143,0.90074875130661,0
5,1,4,4,0.169808901862594,0.855933848487067,0.282149768039637,0.481924181173143,1.09394614553746,0
6,1,4,4,0.16544769254855,0.863114892948367,0.27917576819565,0.481924181173143,1.23464573933885,1
8,1,4,4,0.161990511243915,0.870226377279035,0.278535114372692,0.481924181173143,1.4097554749903,0
10,1,4,4,0.161200827701575,0.872198867347471,0.283613633207668,0.481924181173143,1.50652828708265,0
3,4,4,4,0.172200915224211,0.853509569357404,0.29096665127248,0.481924181173143,1.34502797055511,0
4,4,4,4,0.163154984266952,0.865480600209534,0.279947217140612,0.481924181173143,1.83193034067646,0
5,4,4,4,0.159420558438401,0.873805103445892,0.274217070078395,0.481924181173143,2.31640734491138,0
6,4,4,4,0.157921932779505,0.878523033968129,0.270601738841587,0.481924181173143,2.79771928221003,0
8,4,4,4,0.157500899510463,0.882160459786634,0.273906068886168,0.481924181173143,3.74604090446557,0
10,4,4,4,0.158196208875951,0.881977143086325,0.279814910018679,0.481924181173143,4.65958499162002,0
3,8,4,4,0.170618632044862,0.862875662767611,0.288952878993297,0.481924181173143,1.4303853520595,0
4,8,4,4,0.162218284604091,0.872853089190876,0.279163109634232,0.481924181173143,1.92780095611331,0
5,8,4,4,0.158805114085745,0.880015263191292,0.274163758733191,0.481924181173143,2.42500169684221,0
6,8,4,4,0.157487626621974,0.883917008800855,0.27016483119508,0.481924181173143,2.92195463987618,0
8,8,4,4,0.157251523417502,0.886332810119472,0.27367196528154,0.481924181173143,3.91493466813953,0
10,8,4,4,0.158034196526887,0.885486490886332,0.279197375529047,0.481924181173143,4.90618157090467,0
3,1,12,4,0.195900900605437,0.827523348977948,0.30527269433444,0.481924181173143,0.696971154387085,0
4,1,12,4,0.177860230173623,0.843372878469453,0.290464570584768,0.481924181173143,0.97035882302811,0
5,1,12,4,0.169383718131814,0.854933048927968,0.285672018662452,0.481924181173143,1.18219239972191,0
6,1,12,4,0.165105614551716,0.862205471127851,0.281294557784045,0.481924181173143,1.33868754104585,1
8,1,12,4,0.161748659950629,0.869415275605717,0.280055725662719,0.481924181173143,1.53450554556283,0
10,1,12,4,0.161016283804234,0.871622474367847,0.284369670309387,0.481924181173143,1.64201779277482,0
3,4,12,4,0.171873723356107,0.851758518347329,0.291829200672045,0.481924181173143,1.34830760837604,0
4,4,12,4,0.162911882730412,0.863911601781431,0.281438977860911,0.481924181173143,1.83614987993616,1
5,4,12,4,0.159225852504721,0.872589534427518,0.275000351306517,0.481924181173143,2.3219370364826,0
6,4,12,4,0.157758977447558,0.877603791428438,0.271468961371582,0.481924181173143,2.80512110043002,0
8,4,12,4,0.157377734362087,0.881500369021738,0.273720537892929,0.481924181173143,3.760372517889,0
10,4,12,4,0.158097392869172,0.881611572302168,0.27941976724932,0.481924181173143,4.69126696390118,0
3,8,12,4,0.170446396728925,0.862203173449246,0.288945032457681,0.481924181173143,1.4310786850978,0
4,8,12,4,0.162089078164696,0.872308270620719,0.279253473644128,0.481924181173143,1.92862449961063,0
5,8,12,4,0.158700059690261,0.879716844593432,0.274420265117779,0.481924181173143,2.42598973332041,0
6,8,12,4,0.157398268578644,0.883811773416766,0.270562665892869,0.481924181173143,2.92315379080656,0
8,8,12,4,0.157182043729441,0.88635192719032,0.273868642228002,0.481924181173143,3.916779151044,0
10,8,12,4,0.157977290876805,0.885670566831809,0.279379216688427,0.481924181173143,4.90925801914629,0
