queryFrame,fixedFrame,training,qualityPassed,accepted,reason,errorX,errorY,yawErrorRad,similarity,matchedFraction,matches,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
86,66,1,1,1,accepted,-0.450249957386404,0.366546752862632,-0.000889254021014363,0.413413864691172,0.447368421052632,17,0.118000875834419,484753.108566838,4976633.04982298,-2.14993440700194,484755.98776287,4976639.24753684,-1.9493489154274,484752.658316881,4976633.41636973,-2.15082366102295
86,71,1,1,1,accepted,-0.327035320689902,0.317072709091008,-0.00209262101598195,0.546971683898529,0.526315789473684,20,0.0888045322729816,484753.108566838,4976633.04982298,-2.14993440700194,484755.420174869,4976637.6638863,-2.01196992124979,484752.781531518,4976633.36689569,-2.15202702801792
86,76,1,1,1,accepted,-0.212481309717987,0.198674014769495,0.000496849131454979,0.59270313443594,0.578947368421053,22,0.0441330491307342,484753.108566838,4976633.04982298,-2.14993440700194,484754.769486228,4976636.14982719,-2.06222298827053,484752.896085529,4976633.24849699,-2.14943755787048
91,61,1,1,1,accepted,-1.17206457530847,0.764016197063029,-0.0119302135521062,0.202657402069003,0.222222222222222,10,0.351571834463475,484752.074864564,4976631.40191625,-2.19295470410916,484756.088554653,4976640.92424448,-1.87238038059757,484750.902799989,4976632.16593245,-2.20488491766127
91,66,1,1,1,accepted,-0.514611273480114,0.480743335559964,-0.00294699309059787,0.227850799396239,0.288888888888889,13,0.170641180447947,484752.074864564,4976631.40191625,-2.19295470410916,484755.98776287,4976639.24753684,-1.9493489154274,484751.560253291,4976631.88265958,-2.19590169719976
91,71,1,1,1,accepted,-0.386166710872203,0.460124466568232,-0.000464125887242428,0.309250439528866,0.333333333333333,15,0.165036202080321,484752.074864564,4976631.40191625,-2.19295470410916,484755.420174869,4976637.6638863,-2.01196992124979,484751.688697853,4976631.86204072,-2.1934188299964
91,76,1,1,1,accepted,-0.237750154163223,0.431854952126741,-0.00109673462788074,0.384728190958858,0.4,18,0.213260487808587,484752.074864564,4976631.40191625,-2.19295470410916,484754.769486228,4976636.14982719,-2.06222298827053,484751.83711441,4976631.8337712,-2.19405143873704
91,81,1,1,1,accepted,-0.131541690672748,0.251733332872391,-0.00119860189215659,0.461246819338882,0.755555555555556,34,0.124228213332378,484752.074864564,4976631.40191625,-2.19295470410916,484753.999667463,4976634.61790569,-2.10853460623948,484751.943322874,4976631.65364958,-2.19415330600132
96,66,1,1,1,accepted,-0.655286587192677,0.772524165920913,-0.0023079372157917,0.59195042014954,0.3,12,0.277296877560371,484750.798631105,4976629.57954227,-2.24377163537647,484755.98776287,4976639.24753684,-1.9493489154274,484750.143344518,4976630.35206643,-2.24607957259226
96,71,1,1,1,accepted,-0.391943484370131,0.596943756565452,0.00288023914244784,0.56354262735077,0.325,13,0.274776169601977,484750.798631105,4976629.57954227,-2.24377163537647,484755.420174869,4976637.6638863,-2.01196992124979,484750.406687621,4976630.17648603,-2.24089139623402
